
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 20:32:21 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xc45c5b5e
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [6e+00, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2754.0000000
Found heuristic solution: objective 601.0000000
Found heuristic solution: objective 521.0000000
Presolve time: 0.07s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.214791e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 3703317 3264684 -2915.3232   81  260  403.00000 -2915.3232   823%  49.1 1020s
 3724482 3283453 -2915.3232  120  181  403.00000 -2915.3232   823%  49.1 1025s
 3744823 3301359 -2915.3232  107  242  403.00000 -2915.3232   823%  49.0 1030s
 3764144 3315585 -1842.9402   75  119  403.00000 -2915.3232   823%  48.9 1035s
 3782433 3331919 -2442.2305  193  101  403.00000 -2915.3232   823%  49.0 1040s
 3804460 3351835 -2915.3232   81  256  403.00000 -2915.3232   823%  49.0 1045s
 3827649 3370489 -2915.3232   82  271  403.00000 -2915.3232   823%  48.9 1050s
 3846094 3388700 -2915.3232   80  270  403.00000 -2915.3232   823%  48.9 1055s
 3869662 3405700 -2915.3232   75  217  403.00000 -2915.3232   823%  48.8 1064s
 3871273 3410467 -2915.3232   79  238  403.00000 -2915.3232   823%  48.8 1065s
 3888731 3424082 -2421.5118   67  131  403.00000 -2915.3232   823%  48.8 1070s
 3911249 3444711 -2915.3232   96  260  403.00000 -2915.3232   823%  48.8 1075s
 3933354 3464349 -2915.3232  152  120  403.00000 -2915.3232   823%  48.7 1080s
 3956717 3483932 -2915.3232  131  185  403.00000 -2915.3232   823%  48.7 1085s
 3975385 3500253 -2915.3232   99  191  403.00000 -2915.3232   823%  48.7 1090s
 3998371 3520815 -2915.3232  105  265  403.00000 -2915.3232   823%  48.6 1095s
 4017469 3536100 -2915.3232   71  202  403.00000 -2915.3232   823%  48.6 1100s
 4038120 3556609 -2915.3232   96  278  403.00000 -2915.3232   823%  48.6 1105s
 4057972 3572091 -2915.3232  140  170  403.00000 -2915.3232   823%  48.7 1110s
 4071264 3585252 -2915.3232   83  248  403.00000 -2915.3232   823%  48.7 1115s
 4096759 3606709 -2915.3232  109  136  403.00000 -2915.3232   823%  48.7 1120s
 4117218 3622450 -2915.3232   75  290  403.00000 -2915.3232   823%  48.6 1125s
 4133725 3639691 -2915.3232  105  234  403.00000 -2915.3232   823%  48.6 1130s
 4156111 3657175 -2915.3232   89  291  403.00000 -2915.3232   823%  48.6 1135s
 4178957 3676655 -2915.3232  136  126  403.00000 -2915.3232   823%  48.6 1140s
 4200445 3694647 -123.27378  217   35  403.00000 -2915.3232   823%  48.6 1145s
 4221122 3713892 -2915.3232  131  214  403.00000 -2915.3232   823%  48.6 1150s
 4239188 3728836 -1635.3373  144   75  403.00000 -2915.3232   823%  48.6 1155s
 4256091 3743902 -2915.3232   92  158  403.00000 -2915.3232   823%  48.6 1160s
 4276467 3759334 -2915.3232  123  184  403.00000 -2915.3232   823%  48.6 1167s
 4283828 3769212 -2915.3232   78  273  403.00000 -2915.3232   823%  48.6 1170s
 4311142 3792160 -1281.4296  126   76  403.00000 -2915.3232   823%  48.6 1175s
 4329353 3807962 -2915.3232  108  169  403.00000 -2915.3232   823%  48.6 1180s
 4350041 3827670 -2915.3232  149  187  403.00000 -2915.3232   823%  48.5 1185s
 4371025 3843671 -2915.3232  107  172  403.00000 -2915.3232   823%  48.5 1190s
