
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 13:12:53 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random18.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 324 columns and 0 nonzeros
Model fingerprint: 0xaeabdc52
Model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3816.0000000
Found heuristic solution: objective 997.0000000
Found heuristic solution: objective 502.0000000
Found heuristic solution: objective 466.0000000
Presolve time: 0.08s
Presolved: 0 rows, 324 columns, 0 nonzeros
Presolved model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)

Root relaxation: objective -4.699711e+03, 327 iterations, 0.05 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 7902114 7165484 -2733.3069   58  240  378.00000 -3034.4148   903%   5.1  945s
 7950527 7209374  157.41234   86  117  378.00000 -3033.7546   903%   5.1  950s
 7989264 7244882 -576.13073  206   96  378.00000 -3033.1055   902%   5.1  955s
 8039959 7289766 -2147.5949  119  201  378.00000 -3032.3867   902%   5.1  960s
 8084749 7330454 -2287.0004   98  215  378.00000 -3031.7890   902%   5.1  965s
 8127037 7370306 -1104.8186  190  113  378.00000 -3031.2325   902%   5.1  970s
 8169861 7409492 -2086.7862  100  206  378.00000 -3030.5570   902%   5.1  975s
 8190629 7427916 -2493.3299   87  233  378.00000 -3030.3017   902%   5.1  980s
 8235392 7467081 -2018.4295   61  209  378.00000 -3029.7718   902%   5.1  985s
 8276850 7503462  353.52682  150  106  378.00000 -3028.9998   901%   5.1  990s
 8320812 7544484 -2996.6227   50  251  378.00000 -3028.3940   901%   5.1  995s
 8360333 7579213 -2282.3826   54  215  378.00000 -3028.0140   901%   5.1 1000s
 8402187 7617232 -1883.1090   72  234  378.00000 -3027.2686   901%   5.1 1005s
 8449013 7659783     cutoff  246       378.00000 -3026.5789   901%   5.1 1010s
 8495990 7702065 -803.29701   94  151  378.00000 -3025.7125   900%   5.1 1015s
 8544694 7746326 -2299.6927  105  204  378.00000 -3025.0850   900%   5.1 1020s
 8586627 7785289 -2554.9217   65  231  378.00000 -3024.6308   900%   5.1 1025s
 8629147 7824023 -1712.6757   97  176  378.00000 -3024.1456   900%   5.1 1030s
 8675817 7864778 -1267.9232   79  176  378.00000 -3023.3353   900%   5.1 1035s
 8725291 7909670 -1786.5896  106  208  378.00000 -3022.6706   900%   5.1 1040s
 8780598 7959579 -2576.6803   89  221  378.00000 -3021.8815   899%   5.1 1045s
 8831042 8004408 -3008.4396   53  246  378.00000 -3020.9840   899%   5.1 1050s
 8871849 8041766 -1343.9112   88  185  378.00000 -3020.4741   899%   5.1 1055s
 8909546 8072389 -2762.5158   67  238  378.00000 -3019.8699   899%   5.1 1060s
 8925891 8087325 -2690.8164   83  240  378.00000 -3019.7251   899%   5.1 1065s
 8963167 8124523 -138.09767   60  112  378.00000 -3019.2563   899%   5.1 1070s
 9010161 8165539 -2706.1067   40  252  378.00000 -3018.5696   899%   5.1 1075s
 9049387 8203715 -2820.3030   54  243  378.00000 -3018.1493   898%   5.1 1080s
 9091643 8241323 -1203.3969   83  172  378.00000 -3017.5058   898%   5.1 1085s
 9136997 8281365 -1218.1300   74  174  378.00000 -3016.7871   898%   5.1 1090s
 9186295 8327307 -1736.8277  154  148  378.00000 -3016.1816   898%   5.1 1095s
 9227103 8363776 -820.86983  159  136  378.00000 -3015.6615   898%   5.1 1100s
 9262090 8396010 -936.12690  165  144  378.00000 -3015.1954   898%   5.1 1105s
 9297439 8426385 -474.60123  206  108  378.00000 -3014.8531   898%   5.1 1110s
 9318908 8447615 -2738.5390   54  243  378.00000 -3014.5769   898%   5.1 1115s
 9353596 8478864 -2237.2116   88  216  378.00000 -3014.1521   897%   5.1 1120s
 9387467 8510032 -2275.2549   98  217  378.00000 -3013.6428   897%   5.1 1125s
 9419993 8540520  228.49225  233   70  378.00000 -3013.3887   897%   5.1 1130s
 9461589 8577580 -1601.8076  101  186  378.00000 -3012.7424   897%   5.1 1135s
 9485168 8625442   26.02514  172  102  378.00000 -3012.5276   897%   5.1 1141s
 9552965 8659579 -460.22240   82  139  378.00000 -3011.5005   897%   5.1 1145s
 9601783 8703097 -1845.5018  147  161  378.00000 -3010.7614   896%   5.1 1150s
 9641577 8738555 -2371.6151   89  224  378.00000 -3010.1681   896%   5.1 1155s
 9675625 8768636 -2301.4900   95  226  378.00000 -3009.7951   896%   5.1 1160s
 9718990 8808739 -2372.3644   74  215  378.00000 -3009.3444   896%   5.1 1165s
