
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 03:25:26 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random13.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 169 columns and 0 nonzeros
Model fingerprint: 0x63932d53
Model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2912.0000000
Found heuristic solution: objective 836.0000000
Found heuristic solution: objective 638.0000000
Found heuristic solution: objective 441.0000000
Found heuristic solution: objective 417.0000000
Presolve time: 0.25s
Presolved: 0 rows, 169 columns, 0 nonzeros
Presolved model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)

Root relaxation: objective -2.325694e+03, 168 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 17706677 12384732 -361.62675  115   37  375.00000 -2038.3091   644%  19.3  825s
 17840129 12469448 -721.74258  114   57  375.00000 -2038.3091   644%  19.3  830s
 17974960 12557653 -315.36295  123   33  375.00000 -2038.3091   644%  19.2  835s
 18113311 12647959 -1418.1105   93   74  375.00000 -2038.3091   644%  19.2  840s
 18250343 12735668 -1555.7823   83   94  375.00000 -2038.3091   644%  19.2  845s
 18388408 12823888     cutoff  120       375.00000 -2038.3091   644%  19.2  850s
 18524784 12912986 -1781.1434   82   87  375.00000 -2038.3091   644%  19.2  855s
 18626650 12978050 -1166.5708   84   84  375.00000 -2038.3091   644%  19.1  860s
 18760032 13062539 -1211.6765   98   53  375.00000 -2038.3091   644%  19.1  865s
 18890608 13148086 -1618.2328  104   82  375.00000 -2038.3091   644%  19.1  870s
 19014906 13228105 -220.08452  117   34  375.00000 -2038.3091   644%  19.1  875s
 19145129 13310861 -1610.0554   83   90  375.00000 -2038.3091   644%  19.1  880s
 19246812 13377849 -1133.2360   98   52  375.00000 -2038.3091   644%  19.1  885s
 19375643 13460579 -295.05372  125   37  375.00000 -2038.3091   644%  19.1  890s
 19503781 13541731 -1596.2562   90   72  375.00000 -2038.3091   644%  19.0  895s
 19636689 13625077 -987.27146   88   54  375.00000 -2038.3091   644%  19.0  900s
 19775087 13713698     cutoff  103       375.00000 -2038.3091   644%  19.0  905s
 19910830 13799976  -26.03609  113   29  375.00000 -2038.3091   644%  19.0  910s
 19999256 13856688 -1334.4539   91   89  375.00000 -2038.3091   644%  19.0  915s
 20132755 13943585 -1328.5835  100   62  375.00000 -2038.3091   644%  19.0  920s
 20268030 14029420 -1388.5457   75   91  375.00000 -2038.3091   644%  18.9  925s
 20397445 14111133 -1235.7469   89   70  375.00000 -2038.3091   644%  18.9  930s
 20534736 14198504 -1426.1832   90   74  375.00000 -2038.3091   644%  18.9  935s
 20670606 14283798 -1061.3626   95   59  375.00000 -2038.3091   644%  18.9  940s
 20800853 14364954 -1380.8535   92   67  375.00000 -2038.3091   644%  18.9  945s
 20869616 14408443 -1170.7551   83   59  375.00000 -2038.3091   644%  18.9  950s
 20966774 14469068 -1392.6197   94   79  375.00000 -2038.3091   644%  18.9  955s
 21074864 14538283 -1755.0274   95   75  375.00000 -2038.3091   644%  18.8  960s
 21204147 14619476 -1311.9515  101   61  375.00000 -2038.3091   644%  18.8  965s
 21341158 14706474 -178.44834   98   47  375.00000 -2038.3091   644%  18.8  970s
 21473446 14790578 -1551.1700  106   82  375.00000 -2038.3091   644%  18.8  975s
 21608123 14875034 -417.21848  116   42  375.00000 -2038.3091   644%  18.8  980s
 21738493 14958425 -457.13779  115   45  375.00000 -2038.3091   644%  18.8  985s
 21846871 15027497   82.18488  113   28  375.00000 -2038.3091   644%  18.8  990s
 21941627 15086450 -1532.1416   92   70  375.00000 -2038.3091   644%  18.7  995s
 22081484 15174083 -244.87252  118   40  375.00000 -2038.3091   644%  18.7 1000s
 22214448 15256648 -1155.3827  118   54  375.00000 -2038.3091   644%  18.7 1005s
